"x","life_expectancy_at_birth","life_expectancy_at_birth_2","neonatal_mortality_rate","neonatal_mortality_rate_2","infant_mortality_rate","infant_mortality_rate_2","under_five_mortality_rate","under_five_mortality_rate_2","under_five_mortality_rate_3","under_five_mortality_rate_4","adult_mortality_rate","adult_mortality_rate_2","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burundi","45","62","39","20","103","38","170","53","57","48","316","244"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cabo Verde","65","74","20","8","47","12","60","14","15","12","192","69"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cambodia","55","70","40","13","85","21","116","25","28","22","201","135"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cameroon","55","60","40","26","85","47","136","70","75","64","329","265"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canada","77","83","4","3","7","4","8","5","5","5","94","54"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cayman Islands","..","..","..","..","..","..","..","..","..","..","..",".."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central African Republic","50","54","51","32","115","75","177","100","107","93","449","367"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chad","45","53","52","32","112","66","212","107","114","100","409","345"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Channel Islands","77","81","..","..","..","..","..","..","..","..","61","39"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chile","73","79","9","4","16","6","19","7","7","6","113","62"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"China","68","78","30","3","43","5","54","7","7","7","109","55"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hong Kong SAR, China","77","85","..","..","..","..","..","..","..","..","53","24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macao SAR, China","77","85","..","..","..","..","..","..","..","..","48","24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colombia","69","73","18","7","29","11","36","13","14","12","166","87"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comoros","56","63","50","26","89","39","127","50","52","47","263","186"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Congo, Dem. Rep.","49","59","42","27","120","62","186","79","86","72","313","249"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Congo, Rep.","56","64","27","18","60","32","91","43","47","39","304","249"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Costa Rica","77","77","9","5","14","6","17","8","8","7","111","53"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cote d'Ivoire","53","59","49","32","104","56","153","75","83","67","350","336"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Croatia","72","76","8","3","11","4","13","5","5","4","105","45"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","74","74","7","2","11","4","14","5","6","5","131","73"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Curacao","72","..","..","..","..","..","..","..","..","..","141","61"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprus","74","81","6","2","10","2","11","3","3","3","70","41"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Czechia","71","77","7","1","10","2","12","3","3","2","112","55"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denmark","75","81","4","3","7","3","9","4","4","3","71","44"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Djibouti","55","62","49","30","92","46","118","54","59","49","302","213"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominica","70","73","10","28","13","32","16","36","39","33","169","101"
